TotalMinutesAsleep,Calories,TotalSteps,VeryActiveMinutes,SedentaryMinutes,BMI,AvgHeartRate
58.0,2259,4087,20,730,,61.40540332046846
382.0,1843,1081,13,873,,70.7828926408472
454.0,1893,14696,46,677,,82.83886313776563
549.0,1532,3641,3,622,,69.39546005844694
124.0,607,10534,0,571,,69.27923984614168
344.0,1872,2203,60,1222,,73.94794796394757
198.0,2368,255,29,683,,69.50909345181005
405.0,1424,42,77,702,25.6720144977524,65.55217291729286
109.0,1437,42,24,1127,,64.47292630784658
282.0,1133,5189,1,840,,64.04304724882277
483.0,1919,921,0,1056,,65.36173575644834
476.0,3929,13537,0,1222,25.872603384756,71.98492013712551
304.0,1653,9869,10,616,,67.37131688022512
242.0,1634,2345,26,477,,69.12063371393207
559.0,1715,8399,18,829,25.613046830897,79.8788090983291
269.0,784,7637,7,677,25.524766682371,59.37717466945024
58.0,1940,11190,47,736,26.6500137950262,59.70266447942916
386.0,1171,6900,0,695,25.5451012921806,77.39474060843747
541.0,2518,42,14,567,,67.1245217841032
374.0,1597,17267,83,858,,70.36285370567568
337.0,2489,9093,11,914,,72.71946767975888
135.0,1296,1143,40,1165,,67.81363855477795
482.0,1618,42,0,709,24.3304775858156,66.87647644596632
420.0,2549,4368,25,235,25.4002859271829,59.37717466945024
217.0,965,4623,6,1026,,76.88861036568841
682.0,1826,42,0,679,,69.36341228010384
58.0,1161,69,17,1222,26.3440083631997,73.16122108662869
385.0,1602,3575,2,827,,75.37361451067346
58.0,1798,416,18,161,,59.37717466945024
190.0,403,3970,58,564,25.7019467995978,65.30836831057599
277.0,1706,14585,8,530,,84.6828104753106
310.0,1840,13141,7,972,25.771521715926,72.38374723462867
371.0,730,14959,61,1169,,63.77407357650365
291.0,2142,42,14,1222,26.2424561547247,67.88860989972903
457.0,1540,10217,5,891,,59.37717466945024
58.0,1968,8520,71,1222,25.5214126390519,65.42051485162092
524.0,611,13046,5,2,,79.71689185915855
226.0,1845,9520,35,740,,71.46688441321488
306.0,3064,7108,16,1015,22.6499996185303,63.31666484581668
109.0,4629,2644,60,1222,26.1458795629756,69.794018807322
116.0,3681,6672,7,787,25.1356646198127,80.8560078953012
171.0,1287,6552,78,826,29.2583396894142,65.53372108736976
365.0,1681,3880,21,526,,70.21444007677985
399.0,4131,4257,22,941,,75.37798701479002
494.0,403,6743,18,2,25.1833168583031,69.56404069163304
324.0,1382,9792,20,733,,69.00386258868886
249.0,1290,3204,0,876,25.5076646255928,72.80761494234928
323.0,1492,1209,36,1222,22.6499996185303,69.81553826259986
595.0,3912,7383,56,885,25.3156285978768,60.46102663103551
354.0,2236,6450,13,1222,,59.37717466945024
431.0,1888,2784,19,708,,62.71330752191444
452.0,2919,9388,0,1222,23.2446020899907,61.32629434393832
387.0,3653,42,28,1222,,64.5608943317854
251.0,1872,42,22,1186,22.7034091978521,64.08722721406417
558.0,825,42,7,715,22.6499996185303,59.37717466945024
58.0,1820,9883,3,1222,,59.37717466945024
58.0,3238,10690,67,638,,83.65626989649462
305.0,1360,42,55,455,25.1149778967925,59.37717466945024
58.0,971,13697,62,1222,,81.22698600548571
503.0,438,11558,3,802,25.4409912765326,61.79170436684924
58.0,403,8287,0,1014,,74.46213998197507
222.0,3033,273,63,762,,73.81375918382203
426.0,1466,154,19,808,25.9318020906597,86.02057574198912
58.0,1583,5141,59,832,,74.83740343906285
417.0,2908,5521,17,482,25.7740026240902,74.76506875092622
314.0,1254,6175,51,580,25.3325014261618,59.37717466945024
120.0,4063,7730,0,906,26.5676406133248,85.9436149339737
58.0,1933,14320,3,1103,26.2487142789828,81.37097193810887
440.0,1732,4126,46,1028,25.7050843315244,76.66958789865625
309.0,1903,14076,5,987,25.6009621683886,78.915974516708
348.0,1361,1824,9,1058,,67.86577080060951
472.0,2644,14409,210,996,26.0831483621783,75.03031926779813
234.0,1401,8637,6,125,25.2224294353608,84.4275504200104
657.0,2005,14809,0,572,,65.38203271496623
499.0,2617,2667,38,1016,,69.36221955603307
368.0,3861,15252,0,650,22.8957103623597,66.87777008343845
58.0,1672,2144,39,575,22.6499996185303,75.20066066282553
130.0,1484,5946,50,696,,81.23745652517961
724.0,2428,5712,0,907,,83.70420169703587
417.0,2044,2754,8,621,,70.41520904919018
82.0,524,1061,0,659,,65.00745233490818
58.0,1725,9744,22,659,,62.844453368631264
441.0,4732,7608,0,960,,80.19872785422562
58.0,2817,523,0,811,,75.19506427849537
471.0,1076,7806,0,689,25.7251739442427,70.20707785324208
610.0,3569,14717,43,574,,68.78530262840981
58.0,2082,12141,48,954,,77.35406566513444
302.0,745,42,6,1020,,59.37717466945024
435.0,2725,6071,0,347,,59.37717466945024
514.0,1743,15112,0,606,25.2957196516268,59.37717466945024
58.0,2531,9383,2,844,25.8336522802962,59.37717466945024
377.0,1851,6044,0,716,29.6358341708105,70.39568168784558
217.0,1698,7254,10,988,,80.22768944568416
210.0,1539,5559,0,1111,26.4282018241973,77.02540976072565
615.0,2075,1337,0,390,25.6111778903873,61.736194575885975
58.0,1979,6635,0,491,,66.16842889576341
352.0,3788,4863,25,527,,72.28733746516195
480.0,2786,15160,7,520,,69.29263601290076
414.0,1647,5810,0,787,26.0348798050426,70.98136677534829
337.0,3157,42,59,817,,79.28522474473088
543.0,2533,3353,55,866,,82.79183504069252
615.0,2075,1337,0,390,25.6111778903873,61.736194575885975
389.0,2469,1845,3,1201,,63.448492464859875
299.0,706,11870,29,128,,76.7691302437256
292.0,2624,8614,36,313,22.9771168756214,59.37717466945024
540.0,2192,5358,1,874,,70.3359125557628
223.0,2301,5856,0,1075,26.6472054408357,63.17946388470239
482.0,2342,5870,0,1222,,66.41108619181824
463.0,2060,13699,18,828,,69.80764039415347
113.0,2318,6289,12,480,25.3845413392448,86.0289261198868
58.0,1934,3336,52,487,,61.23429422713429
162.0,4783,252,0,762,26.8082848933154,73.0620936295853
613.0,1681,6901,43,663,,71.44200455920286
314.0,1254,6175,51,580,25.3325014261618,59.37717466945024
469.0,975,1018,80,1222,,83.22642380227916
266.0,1828,3234,39,429,,59.37717466945024
304.0,422,7205,42,1025,,73.33933617309026
458.0,1897,10728,0,157,,79.98897298464826
452.0,2039,3606,0,998,25.7814248849681,72.01046955738877
58.0,1770,11542,44,760,,66.06608715191938
205.0,757,5663,1,366,,76.43529134449027
422.0,2499,11208,43,662,,66.12901992338308
664.0,1778,9177,29,1222,26.2558763165625,60.7339206213327
90.0,2011,3805,0,534,22.6499996185303,72.52789501104719
539.0,403,96,1,775,26.0942022084837,65.53514297102744
254.0,1450,8071,8,917,,74.22321551786654
302.0,2161,4713,63,586,25.396402550762,72.8551930094517
438.0,1811,6365,49,656,,59.37717466945024
612.0,2623,7750,32,930,,59.37717466945024
293.0,2551,10822,39,748,,83.59553655095894
775.0,758,1995,0,966,22.6499996185303,72.01650687534706
374.0,1534,2554,0,1222,,72.93352043543354
220.0,1473,7380,4,1083,25.6835909842084,64.28795115424153
451.0,1539,42,84,231,,72.91783519503467
306.0,2035,9435,20,447,,65.46404685352903
356.0,1927,9420,46,1061,26.1979167119104,71.04610193557212
408.0,688,8767,19,1213,22.6499996185303,102.24413775837672
314.0,1254,6175,51,580,25.3325014261618,59.37717466945024
268.0,1588,7392,0,1222,,66.45976079459075
282.0,1928,3706,23,1222,25.0542243729465,64.08432269109585
229.0,1598,12982,1,635,22.6499996185303,66.4798255942905
313.0,3149,5288,0,1222,25.8057709916455,59.37717466945024
388.0,1897,7150,0,929,,59.37717466945024
207.0,2162,2253,36,828,22.6499996185303,68.30172408840626
343.0,1343,7536,4,453,,63.47352433828334
58.0,1843,12254,0,1066,26.6556532879222,70.29029855072498
58.0,2259,4087,20,730,,61.40540332046846
282.0,1730,2649,0,718,25.9361839190276,73.25350039191792
303.0,1446,13617,42,563,25.8383980506007,69.39617764293776
675.0,884,7705,74,1074,,60.23003291387576
441.0,1623,7176,0,989,,66.08624925932638
317.0,1299,1270,82,633,26.6265166538815,78.40074554540183
475.0,2148,2382,41,956,27.9552534158156,72.5296233369409
438.0,1811,6365,49,656,,59.37717466945024
601.0,2370,5905,0,551,25.432528456765,61.695606498404274
402.0,1876,6792,0,924,,67.35817621622911
349.0,950,4638,8,958,25.4421322111092,70.39767799116908
148.0,2685,42,7,737,,61.342269982872956
266.0,2477,7610,16,1014,,69.3466237651769
355.0,2826,3837,0,474,26.0947925308492,68.4580119260893
58.0,765,5673,53,1222,26.4795707536639,59.37717466945024
285.0,1420,5271,0,914,26.1130311178758,59.37717466945024
336.0,2613,2114,49,822,32.4431044892407,68.93047471467148
58.0,3360,8743,13,779,,83.32076623496202
514.0,1662,8176,50,1222,,75.64521252494731
299.0,706,11870,29,128,,76.7691302437256
681.0,1999,10837,38,1222,,59.37717466945024
325.0,1865,7018,18,464,25.3709542007345,70.51822335195065
389.0,2469,1845,3,1201,,63.448492464859875
150.0,403,9018,84,1003,,76.24147002222307
377.0,1851,6044,0,716,29.6358341708105,70.39568168784558
361.0,826,6912,84,731,,65.1820897652632
417.0,2908,5521,17,482,25.7740026240902,74.76506875092622
323.0,1149,3356,16,808,,66.93835942725805
429.0,1711,7366,59,779,26.7286315597692,80.44266806989746
526.0,4303,5715,18,793,,74.1940117781934
481.0,2512,14329,35,973,,71.42969788064904
387.0,1764,14300,0,667,,68.74180278962233
452.0,1262,10139,46,666,,69.39109593520723
557.0,2050,42,0,1056,25.3623826662822,73.03368761186732
682.0,2101,11999,6,198,,59.471922423195245
367.0,1247,429,10,896,,61.759757156227266
492.0,3260,6079,0,634,25.9807235970615,73.32661276490224
458.0,823,4282,30,644,25.2450139346296,76.74590905336778
260.0,887,8310,15,1222,,75.4899112812638
327.0,992,42,58,743,,67.72236055249608
463.0,678,1887,15,385,,68.74173283333647
483.0,1919,921,0,1056,,65.36173575644834
58.0,1418,8626,0,1001,,70.52039224027418
324.0,1950,42,15,374,,59.37717466945024
215.0,1565,3374,10,819,26.0694800538343,75.08334337818776
516.0,1475,6316,1,915,,62.00671126014433
112.0,1711,5143,48,1217,25.8311008621962,65.29009542263438
66.0,1240,9475,28,619,25.614619450655,70.84296097175897
544.0,972,42,8,1031,47.5400009155273,77.17570551323458
71.0,1476,2798,9,181,26.2863346736928,65.08862086378291
245.0,1642,760,14,1222,,70.487181203592
721.0,2199,6450,4,943,,65.55798522718965
349.0,2054,3139,0,1093,26.9482434008917,69.11873684846343
58.0,2197,6903,0,707,25.9972727835204,69.2198727047461
58.0,2308,10364,60,644,25.6499689743176,78.71114111492965
393.0,1740,12981,0,697,,59.37717466945024
262.0,1819,2232,0,697,26.3609803549822,78.69023498096477
113.0,1331,8874,67,1030,25.9315132155619,83.25764116650674
212.0,2252,881,16,733,22.6499996185303,74.85893026077363
58.0,403,16414,31,369,23.5975591385925,80.64224677144442
508.0,1644,11516,13,984,,78.84262253733836
197.0,2057,7815,41,463,22.6499996185303,59.66806033951741
463.0,2060,13699,18,828,,69.80764039415347
417.0,2908,5521,17,482,25.7740026240902,74.76506875092622
323.0,2593,12108,0,846,25.5107416743111,65.59601148796517
135.0,1602,15581,23,492,,67.68529108877219
341.0,1745,3223,36,1112,23.8887496556837,59.37717466945024
743.0,470,2706,0,868,,70.88541056768042
468.0,1649,10081,8,1222,25.8401182407784,65.004643900657
428.0,403,10478,0,958,,77.50664935278473
168.0,2562,6508,3,777,,66.57941468612484
541.0,827,6510,2,345,,70.08656721993003
585.0,1527,512,22,241,,59.37717466945024
259.0,1952,9300,21,377,25.2081122158991,61.60785868863806
288.0,1423,2226,12,1222,,59.37717466945024
523.0,1302,8286,19,986,,68.60021784405077
303.0,403,9858,22,973,22.6499996185303,69.94704116684099
406.0,2026,11285,13,891,,59.37717466945024
372.0,793,6527,0,1222,24.1635576396102,59.37717466945024
208.0,1937,6817,13,55,22.6499996185303,67.3171336089969
234.0,1401,8637,6,125,25.2224294353608,84.4275504200104
254.0,403,11051,28,14,,87.62432185474701
299.0,1973,8116,57,1026,25.7453636860594,63.05921521027735
396.0,1522,11893,0,698,25.5848791897197,76.7616064848372
365.0,3293,14096,36,555,25.9180211006842,61.968621489308234
240.0,1579,11528,66,933,,74.76677250162771
414.0,1299,9807,31,658,26.6627672644161,70.67911992761677
322.0,2234,12125,19,610,22.6499996185303,70.43597291891913
471.0,967,11317,52,847,,75.27191116988729
58.0,2584,4298,91,232,24.9841262468602,60.547716956507294
310.0,1356,10870,28,2,,75.53830716707952
527.0,705,10189,9,526,,69.99449207006765
58.0,1187,13393,53,737,25.5609311593025,75.547916941921
90.0,2011,3805,0,534,22.6499996185303,72.52789501104719
525.0,2739,8609,2,960,,75.15319321064564
259.0,1261,2934,12,956,,62.944953523857734
556.0,2103,15983,0,673,25.9780211094913,61.90645920700233
298.0,1726,6516,0,1051,25.5410906479701,59.37717466945024
360.0,3367,7907,36,1222,,83.23865760576436
248.0,1474,7813,40,638,,77.12886841724381
58.0,3799,7915,13,978,25.799295958044,74.26943462275202
290.0,3651,1985,76,964,26.2480998154577,66.50677863127514
158.0,2472,7836,0,488,,59.37717466945024
411.0,722,8522,23,1222,,65.0226376568545
474.0,2214,2409,62,672,26.6273049167189,74.97517099385634
326.0,619,2727,0,646,,60.94655529264806
217.0,1698,7254,10,988,,80.22768944568416
501.0,1857,5952,0,809,,72.76904587805953
163.0,403,22770,33,923,25.701447778038,74.4389583437244
577.0,1069,4593,2,1222,26.0018227494012,78.31864375646333
74.0,2399,5987,2,1222,22.6499996185303,79.781918389584
331.0,3683,14888,0,985,24.6244344381429,59.37717466945024
461.0,1490,6643,1,1222,25.9666658159183,78.35442054804301
58.0,765,5673,53,1222,26.4795707536639,59.37717466945024
441.0,1299,720,0,943,25.070337591455,75.48497340342003
404.0,1598,8471,0,627,,69.63748653472292
297.0,2069,3548,1,941,26.2015800728177,69.25904442691107
246.0,1703,42,18,788,25.631572431608,70.25087432594054
336.0,2613,2114,49,822,32.4431044892407,68.93047471467148
83.0,2905,4836,0,1222,,68.07016300567287
550.0,1494,2423,12,337,,72.31898787041095
275.0,1531,6829,24,1222,26.0762587928115,69.67558024635784
282.0,1928,3706,23,1222,25.0542243729465,64.08432269109585
420.0,3188,9911,49,160,26.322075979121,70.7643979645817
601.0,2370,5905,0,551,25.432528456765,61.695606498404274
130.0,1288,1184,7,510,22.6499996185303,71.9580316045907
58.0,609,6248,0,665,23.6090401175484,69.57174090310943
320.0,2829,13279,13,874,25.7555743864931,85.55644995214315
435.0,1800,3792,29,1222,,63.615282141576
367.0,1771,343,24,892,22.7889239154825,64.3333859169338
58.0,1500,7366,12,1033,25.6791270502141,73.96586181709344
324.0,1550,42,79,705,25.6932293628777,63.84027056811755
478.0,1449,3722,0,816,26.3612538028283,69.59249502654643
198.0,403,15757,0,332,,74.27947138761643
290.0,1655,2688,34,39,25.5073853525405,83.96721045051565
757.0,2626,12400,0,1222,23.3081075984376,66.69162768978046
374.0,1534,2554,0,1222,,72.93352043543354
717.0,2962,9710,0,859,,59.37717466945024
212.0,2252,881,16,733,22.6499996185303,74.85893026077363
664.0,1778,9177,29,1222,26.2558763165625,60.7339206213327
310.0,1948,5639,56,1222,25.7644128252612,72.06646023555327
446.0,1794,5027,63,1158,,72.06076756142126
369.0,3945,10007,3,654,,80.6934775897532
489.0,1496,3578,29,96,25.6764446618409,66.42680758306105
389.0,1165,648,15,848,25.3645761640673,74.97350436718528
694.0,4790,4120,16,914,,59.37717466945024
473.0,1598,7622,66,842,22.7839761963394,60.116586710537035
231.0,3183,2494,21,933,,63.17202336419804
205.0,2188,9122,0,1105,22.6499996185303,69.05947179086243
58.0,3676,691,18,837,,71.67118478643474
207.0,2162,2253,36,828,22.6499996185303,68.30172408840626
589.0,2235,9199,0,1003,22.7033176499669,61.89053339184695
544.0,492,13921,0,717,22.6499996185303,79.05892513116103
422.0,3128,903,3,758,25.8750857983257,67.27549432069752
58.0,1860,42,58,1222,25.8248930177169,77.28733512239124
470.0,2874,12041,58,481,,59.37717466945024
58.0,403,2264,29,1222,,60.95857400837904
96.0,2911,4522,0,995,,63.01351358614497
197.0,2057,7815,41,463,22.6499996185303,59.66806033951741
277.0,4236,42,7,116,,67.9160414436054
345.0,1734,5623,7,619,,59.37717466945024
530.0,1779,105,0,751,,65.20498302922294
439.0,2139,2191,3,834,,68.12152282839453
483.0,1919,921,0,1056,,65.36173575644834
61.0,4154,2707,0,727,22.6499996185303,66.339100727925
304.0,1653,9869,10,616,,67.37131688022512
556.0,418,42,65,970,25.8627998183547,66.43055920211654
486.0,4451,12326,32,1222,25.3560570339989,62.49847552025266
246.0,2542,390,61,747,,74.71231246299091
755.0,1837,10547,11,576,,78.46106518680254
242.0,1634,2345,26,477,,69.12063371393207
481.0,2512,14329,35,973,,71.42969788064904
